AI GET    /ai_agent_default                                                      | Get AI agent default configuration | mode,language,model
AI POST   /ai/ask                                                                | Ask question | 
AI POST   /ai/extract                                                            | Extract metadata (freeform) | 
AI POST   /ai/extract_structured                                                 | Extract metadata (structured) | 
AI POST   /ai/text_gen                                                           | Generate text | 
AI Studio DELETE /ai_agents/{agent_id}                                                  | Delete AI agent | agent_id
AI Studio GET    /ai_agents                                                             | List AI agents | mode,fields,agent_state,include_box_default,marker,limit
AI Studio GET    /ai_agents/{agent_id}                                                  | Get AI agent by agent ID | agent_id,fields
AI Studio POST   /ai_agents                                                             | Create AI agent | 
AI Studio PUT    /ai_agents/{agent_id}                                                  | Update AI agent | agent_id
Box Sign requests GET    /sign_requests                                                         | List Box Sign requests | marker,limit,senders,shared_requests
Box Sign requests GET    /sign_requests/{sign_request_id}                                       | Get Box Sign request by ID | sign_request_id
Box Sign requests POST   /sign_requests                                                         | Create Box Sign request | 
Box Sign requests POST   /sign_requests/{sign_request_id}/cancel                                | Cancel Box Sign request | sign_request_id
Box Sign requests POST   /sign_requests/{sign_request_id}/resend                                | Resend Box Sign request | sign_request_id
Box Sign templates GET    /sign_templates                                                        | List Box Sign templates | marker,limit
Box Sign templates GET    /sign_templates/{template_id}                                          | Get Box Sign template by ID | template_id
Classifications GET    /metadata_templates/enterprise/securityClassification-6VMVochwUWo/schema | List all classifications | 
Classifications POST   /metadata_templates/schema#classifications                             | Add initial classifications | 
Classifications PUT    /metadata_templates/enterprise/securityClassification-6VMVochwUWo/schema#add | Add classification | 
Classifications PUT    /metadata_templates/enterprise/securityClassification-6VMVochwUWo/schema#update | Update classification | 
Classifications on DELETE /files/{file_id}/metadata/enterprise/securityClassification-6VMVochwUWo | Remove classification from file | file_id
Classifications on DELETE /folders/{folder_id}/metadata/enterprise/securityClassification-6VMVochwUWo | Remove classification from folder | folder_id
Classifications on GET    /files/{file_id}/metadata/enterprise/securityClassification-6VMVochwUWo | Get classification on file | file_id
Classifications on GET    /folders/{folder_id}/metadata/enterprise/securityClassification-6VMVochwUWo | Get classification on folder | folder_id
Classifications on POST   /files/{file_id}/metadata/enterprise/securityClassification-6VMVochwUWo | Add classification to file | file_id
Classifications on POST   /folders/{folder_id}/metadata/enterprise/securityClassification-6VMVochwUWo | Add classification to folder | folder_id
Classifications on PUT    /files/{file_id}/metadata/enterprise/securityClassification-6VMVochwUWo | Update classification on file | file_id
Classifications on PUT    /folders/{folder_id}/metadata/enterprise/securityClassification-6VMVochwUWo | Update classification on folder | folder_id
Collaborations (Li GET    /collaborations                                                        | List pending collaborations | status,fields,offset,limit
Collaborations (Li GET    /files/{file_id}/collaborations                                        | List file collaborations | file_id,fields,limit,marker
Collaborations (Li GET    /folders/{folder_id}/collaborations                                    | List folder collaborations | folder_id,fields,limit,marker
Collaborations (Li GET    /groups/{group_id}/collaborations                                      | List group collaborations | group_id,limit,offset
Collaborations DELETE /collaborations/{collaboration_id}                                     | Remove collaboration | collaboration_id
Collaborations GET    /collaborations/{collaboration_id}                                     | Get collaboration | collaboration_id,fields
Collaborations POST   /collaborations                                                        | Create collaboration | fields,notify
Collaborations PUT    /collaborations/{collaboration_id}                                     | Update collaboration | collaboration_id
Comments DELETE /comments/{comment_id}                                                 | Remove comment | comment_id
Comments GET    /comments/{comment_id}                                                 | Get comment | comment_id,fields
Comments GET    /files/{file_id}/comments                                              | List file comments | file_id,fields,limit,offset
Comments POST   /comments                                                              | Create comment | fields
Comments PUT    /comments/{comment_id}                                                 | Update comment | comment_id,fields
Device pinners DELETE /device_pinners/{device_pinner_id}                                     | Remove device pin | device_pinner_id
Device pinners GET    /device_pinners/{device_pinner_id}                                     | Get device pin | device_pinner_id
Device pinners GET    /enterprises/{enterprise_id}/device_pinners                            | List enterprise device pins | enterprise_id,marker,limit,direction
Domain restriction DELETE /collaboration_whitelist_entries/{collaboration_whitelist_entry_id}    | Remove domain from list of allowed collaboration domains | collaboration_whitelist_entry_id
Domain restriction DELETE /collaboration_whitelist_exempt_targets/{collaboration_whitelist_exempt_target_id} | Remove user from list of users exempt from domain restrictions | collaboration_whitelist_exempt_target_id
Domain restriction GET    /collaboration_whitelist_entries                                       | List allowed collaboration domains | marker,limit
Domain restriction GET    /collaboration_whitelist_entries/{collaboration_whitelist_entry_id}    | Get allowed collaboration domain | collaboration_whitelist_entry_id
Domain restriction GET    /collaboration_whitelist_exempt_targets                                | List users exempt from collaboration domain restrictions | marker,limit
Domain restriction GET    /collaboration_whitelist_exempt_targets/{collaboration_whitelist_exempt_target_id} | Get user exempt from collaboration domain restrictions | collaboration_whitelist_exempt_target_id
Domain restriction POST   /collaboration_whitelist_entries                                       | Add domain to list of allowed collaboration domains | 
Domain restriction POST   /collaboration_whitelist_exempt_targets                                | Create user exemption from collaboration domain restrictions | 
Email aliases DELETE /users/{user_id}/email_aliases/{email_alias_id}                        | Remove email alias | user_id,email_alias_id
Email aliases GET    /users/{user_id}/email_aliases                                         | List user's email aliases | user_id
Email aliases POST   /users/{user_id}/email_aliases                                         | Create email alias | user_id
Events GET    /events                                                                | List user and enterprise events | stream_type,stream_position,limit,event_type,created_after,created_before
Events OPTIONS /events                                                                | Get events long poll endpoint | 
